Notes,State,State Code,Year,Year Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
Total,Florida,12,2018,2018,,,4928,21299325,23.1
,Florida,12,2019,2019,Drug-induced causes,D,5538,21477737,25.8
Total,Florida,12,2019,2019,,,5538,21477737,25.8
,Florida,12,2020,2020,Drug-induced causes,D,7480,21733312,34.4
Total,Florida,12,2020,2020,,,7480,21733312,34.4
Total,Florida,12,,,,,71502,413765419,17.3
,Georgia,13,1999,1999,Drug-induced causes,D,347,8045965,4.3
Total,Georgia,13,1999,1999,,,347,8045965,4.3
,Georgia,13,2000,2000,Drug-induced causes,D,429,8186453,5.2
Total,Georgia,13,2000,2000,,,429,8186453,5.2
,Georgia,13,2001,2001,Drug-induced causes,D,591,8377038,7.1
Total,Georgia,13,2001,2001,,,591,8377038,7.1
,Georgia,13,2002,2002,Drug-induced causes,D,631,8508256,7.4
Total,Georgia,13,2002,2002,,,631,8508256,7.4
,Georgia,13,2003,2003,Drug-induced causes,D,684,8622793,7.9
Total,Georgia,13,2003,2003,,,684,8622793,7.9
,Georgia,13,2004,2004,Drug-induced causes,D,730,8769252,8.3
Total,Georgia,13,2004,2004,,,730,8769252,8.3
,Georgia,13,2005,2005,Drug-induced causes,D,820,8925922,9.2
Total,Georgia,13,2005,2005,,,820,8925922,9.2
,Georgia,13,2006,2006,Drug-induced causes,D,912,9155813,10
Total,Georgia,13,2006,2006,,,912,9155813,10
,Georgia,13,2007,2007,Drug-induced causes,D,973,9349988,10.4
Total,Georgia,13,2007,2007,,,973,9349988,10.4
,Georgia,13,2008,2008,Drug-induced causes,D,977,9504843,10.3
Total,Georgia,13,2008,2008,,,977,9504843,10.3
,Georgia,13,2009,2009,Drug-induced causes,D,1043,9620846,10.8
Total,Georgia,13,2009,2009,,,1043,9620846,10.8
,Georgia,13,2010,2010,Drug-induced causes,D,1124,9687653,11.6
Total,Georgia,13,2010,2010,,,1124,9687653,11.6
,Georgia,13,2011,2011,Drug-induced causes,D,1112,9815210,11.3
Total,Georgia,13,2011,2011,,,1112,9815210,11.3
,Georgia,13,2012,2012,Drug-induced causes,D,1115,9919945,11.2
Total,Georgia,13,2012,2012,,,1115,9919945,11.2
,Georgia,13,2013,2013,Drug-induced causes,D,1160,9992167,11.6
Total,Georgia,13,2013,2013,,,1160,9992167,11.6
,Georgia,13,2014,2014,Drug-induced causes,D,1268,10097343,12.6
Total,Georgia,13,2014,2014,,,1268,10097343,12.6
,Georgia,13,2015,2015,Drug-induced causes,D,1370,10214860,13.4
Total,Georgia,13,2015,2015,,,1370,10214860,13.4
,Georgia,13,2016,2016,Drug-induced causes,D,1461,10310371,14.2
Total,Georgia,13,2016,2016,,,1461,10310371,14.2
,Georgia,13,2017,2017,Drug-induced causes,D,1629,10429379,15.6
Total,Georgia,13,2017,2017,,,1629,10429379,15.6
,Georgia,13,2018,2018,Drug-induced causes,D,1500,10519475,14.3
Total,Georgia,13,2018,2018,,,1500,10519475,14.3
,Georgia,13,2019,2019,Drug-induced causes,D,1502,10617423,14.1
Total,Georgia,13,2019,2019,,,1502,10617423,14.1
,Georgia,13,2020,2020,Drug-induced causes,D,2024,10710017,18.9
Total,Georgia,13,2020,2020,,,2024,10710017,18.9
Total,Georgia,13,,,,,23402,209381012,11.2
,Hawaii,15,1999,1999,Drug-induced causes,D,83,1210300,6.9
Total,Hawaii,15,1999,1999,,,83,1210300,6.9
,Hawaii,15,2000,2000,Drug-induced causes,D,64,1211537,5.3
Total,Hawaii,15,2000,2000,,,64,1211537,5.3
,Hawaii,15,2001,2001,Drug-induced causes,D,83,1225948,6.8
Total,Hawaii,15,2001,2001,,,83,1225948,6.8
,Hawaii,15,2002,2002,Drug-induced causes,D,85,1239613,6.9
Total,Hawaii,15,2002,2002,,,85,1239613,6.9
,Hawaii,15,2003,2003,Drug-induced causes,D,102,1251154,8.2
Total,Hawaii,15,2003,2003,,,102,1251154,8.2
,Hawaii,15,2004,2004,Drug-induced causes,D,128,1273569,10.1
Total,Hawaii,15,2004,2004,,,128,1273569,10.1
,Hawaii,15,2005,2005,Drug-induced causes,D,143,1292729,11.1
Total,Hawaii,15,2005,2005,,,143,1292729,11.1
,Hawaii,15,2006,2006,Drug-induced causes,D,131,1309731,10
Total,Hawaii,15,2006,2006,,,131,1309731,10
,Hawaii,15,2007,2007,Drug-induced causes,D,142,1315675,10.8
Total,Hawaii,15,2007,2007,,,142,1315675,10.8
,Hawaii,15,2008,2008,Drug-induced causes,D,129,1332213,9.7
Total,Hawaii,15,2008,2008,,,129,1332213,9.7
,Hawaii,15,2009,2009,Drug-induced causes,D,148,1346717,11
Total,Hawaii,15,2009,2009,,,148,1346717,11
,Hawaii,15,2010,2010,Drug-induced causes,D,154,1360301,11.3
Total,Hawaii,15,2010,2010,,,154,1360301,11.3
,Hawaii,15,2011,2011,Drug-induced causes,D,189,1374810,13.7
Total,Hawaii,15,2011,2011,,,189,1374810,13.7
,Hawaii,15,2012,2012,Drug-induced causes,D,159,1392313,11.4
Total,Hawaii,15,2012,2012,,,159,1392313,11.4
,Hawaii,15,2013,2013,Drug-induced causes,D,167,1404054,11.9
Total,Hawaii,15,2013,2013,,,167,1404054,11.9
,Hawaii,15,2014,2014,Drug-induced causes,D,174,1419561,12.3
Total,Hawaii,15,2014,2014,,,174,1419561,12.3
,Hawaii,15,2015,2015,Drug-induced causes,D,175,1431603,12.2
Total,Hawaii,15,2015,2015,,,175,1431603,12.2
,Hawaii,15,2016,2016,Drug-induced causes,D,207,1428557,14.5
Total,Hawaii,15,2016,2016,,,207,1428557,14.5
,Hawaii,15,2017,2017,Drug-induced causes,D,221,1427538,15.5
Total,Hawaii,15,2017,2017,,,221,1427538,15.5
,Hawaii,15,2018,2018,Drug-induced causes,D,237,1420491,16.7
Total,Hawaii,15,2018,2018,,,237,1420491,16.7
,Hawaii,15,2019,2019,Drug-induced causes,D,266,1415872,18.8
Total,Hawaii,15,2019,2019,,,266,1415872,18.8
,Hawaii,15,2020,2020,Drug-induced causes,D,307,1407006,21.8
Total,Hawaii,15,2020,2020,,,307,1407006,21.8
Total,Hawaii,15,,,,,3494,29491292,11.8
,Idaho,16,1999,1999,Drug-induced causes,D,66,1275674,5.2
Total,Idaho,16,1999,1999,,,66,1275674,5.2
,Idaho,16,2000,2000,Drug-induced causes,D,70,1293953,5.4
Total,Idaho,16,2000,2000,,,70,1293953,5.4
,Idaho,16,2001,2001,Drug-induced causes,D,99,1319962,7.5
Total,Idaho,16,2001,2001,,,99,1319962,7.5
,Idaho,16,2002,2002,Drug-induced causes,D,123,1340372,9.2
Total,Idaho,16,2002,2002,,,123,1340372,9.2
,Idaho,16,2003,2003,Drug-induced causes,D,118,1363380,8.7
Total,Idaho,16,2003,2003,,,118,1363380,8.7
,Idaho,16,2004,2004,Drug-induced causes,D,113,1391802,8.1
Total,Idaho,16,2004,2004,,,113,1391802,8.1
,Idaho,16,2005,2005,Drug-induced causes,D,118,1428241,8.3
Total,Idaho,16,2005,2005,,,118,1428241,8.3
,Idaho,16,2006,2006,Drug-induced causes,D,147,1468669,10
Total,Idaho,16,2006,2006,,,147,1468669,10
,Idaho,16,2007,2007,Drug-induced causes,D,133,1505105,8.8
Total,Idaho,16,2007,2007,,,133,1505105,8.8
,Idaho,16,2008,2008,Drug-induced causes,D,152,1534320,9.9
Total,Idaho,16,2008,2008,,,152,1534320,9.9
,Idaho,16,2009,2009,Drug-induced causes,D,181,1554439,11.6
Total,Idaho,16,2009,2009,,,181,1554439,11.6
,Idaho,16,2010,2010,Drug-induced causes,D,184,1567582,11.7
Total,Idaho,16,2010,2010,,,184,1567582,11.7
,Idaho,16,2011,2011,Drug-induced causes,D,199,1584985,12.6
Total,Idaho,16,2011,2011,,,199,1584985,12.6
,Idaho,16,2012,2012,Drug-induced causes,D,188,1595728,11.8
Total,Idaho,16,2012,2012,,,188,1595728,11.8
,Idaho,16,2013,2013,Drug-induced causes,D,217,1612136,13.5
Total,Idaho,16,2013,2013,,,217,1612136,13.5
,Idaho,16,2014,2014,Drug-induced causes,D,218,1634464,13.3
Total,Idaho,16,2014,2014,,,218,1634464,13.3
,Idaho,16,2015,2015,Drug-induced causes,D,224,1654930,13.5
Total,Idaho,16,2015,2015,,,224,1654930,13.5
,Idaho,16,2016,2016,Drug-induced causes,D,260,1683140,15.4
Total,Idaho,16,2016,2016,,,260,1683140,15.4
,Idaho,16,2017,2017,Drug-induced causes,D,264,1716943,15.4
Total,Idaho,16,2017,2017,,,264,1716943,15.4
,Idaho,16,2018,2018,Drug-induced causes,D,274,1754208,15.6
Total,Idaho,16,2018,2018,,,274,1754208,15.6
,Idaho,16,2019,2019,Drug-induced causes,D,280,1787065,15.7
Total,Idaho,16,2019,2019,,,280,1787065,15.7
,Idaho,16,2020,2020,Drug-induced causes,D,295,1826913,16.1
Total,Idaho,16,2020,2020,,,295,1826913,16.1
Total,Idaho,16,,,,,3923,33894011,11.6
,Illinois,17,1999,1999,Drug-induced causes,D,872,12359020,7.1
Total,Illinois,17,1999,1999,,,872,12359020,7.1
,Illinois,17,2000,2000,Drug-induced causes,D,910,12419293,7.3
Total,Illinois,17,2000,2000,,,910,12419293,7.3
,Illinois,17,2001,2001,Drug-induced causes,D,930,12488445,7.4
Total,Illinois,17,2001,2001,,,930,12488445,7.4
,Illinois,17,2002,2002,Drug-induced causes,D,1030,12525556,8.2
Total,Illinois,17,2002,2002,,,1030,12525556,8.2
,Illinois,17,2003,2003,Drug-induced causes,D,872,12556006,6.9
Total,Illinois,17,2003,2003,,,872,12556006,6.9
,Illinois,17,2004,2004,Drug-induced causes,D,1080,12589773,8.6
Total,Illinois,17,2004,2004,,,1080,12589773,8.6
,Illinois,17,2005,2005,Drug-induced causes,D,1140,12609903,9
Total,Illinois,17,2005,2005,,,1140,12609903,9
,Illinois,17,2006,2006,Drug-induced causes,D,1423,12643955,11.3
Total,Illinois,17,2006,2006,,,1423,12643955,11.3
,Illinois,17,2007,2007,Drug-induced causes,D,1239,12695866,9.8
Total,Illinois,17,2007,2007,,,1239,12695866,9.8
,Illinois,17,2008,2008,Drug-induced causes,D,1412,12747038,11.1
Total,Illinois,17,2008,2008,,,1412,12747038,11.1
,Illinois,17,2009,2009,Drug-induced causes,D,1427,12796778,11.2
Total,Illinois,17,2009,2009,,,1427,12796778,11.2
,Illinois,17,2010,2010,Drug-induced causes,D,1344,12830632,10.5
Total,Illinois,17,2010,2010,,,1344,12830632,10.5
,Illinois,17,2011,2011,Drug-induced causes,D,1459,12869257,11.3
Total,Illinois,17,2011,2011,,,1459,12869257,11.3
,Illinois,17,2012,2012,Drug-induced causes,D,1667,12875255,12.9
Total,Illinois,17,2012,2012,,,1667,12875255,12.9
,Illinois,17,2013,2013,Drug-induced causes,D,1607,12882135,12.5
Total,Illinois,17,2013,2013,,,1607,12882135,12.5
,Illinois,17,2014,2014,Drug-induced causes,D,1736,12880580,13.5
Total,Illinois,17,2014,2014,,,1736,12880580,13.5
,Illinois,17,2015,2015,Drug-induced causes,D,1872,12859995,14.6
Total,Illinois,17,2015,2015,,,1872,12859995,14.6
,Illinois,17,2016,2016,Drug-induced causes,D,2455,12801539,19.2
Total,Illinois,17,2016,2016,,,2455,12801539,19.2
,Illinois,17,2017,2017,Drug-induced causes,D,2812,12802023,22
Total,Illinois,17,2017,2017,,,2812,12802023,22
,Illinois,17,2018,2018,Drug-induced causes,D,2770,12741080,21.7
Total,Illinois,17,2018,2018,,,2770,12741080,21.7
,Illinois,17,2019,2019,Drug-induced causes,D,2846,12671821,22.5
Total,Illinois,17,2019,2019,,,2846,12671821,22.5
,Illinois,17,2020,2020,Drug-induced causes,D,3629,12587530,28.8
Total,Illinois,17,2020,2020,,,3629,12587530,28.8
Total,Illinois,17,,,,,36532,279233480,13.1
,Indiana,18,1999,1999,Drug-induced causes,D,251,6044969,4.2
Total,Indiana,18,1999,1999,,,251,6044969,4.2
,Indiana,18,2000,2000,Drug-induced causes,D,289,6080485,4.8
Total,Indiana,18,2000,2000,,,289,6080485,4.8
,Indiana,18,2001,2001,Drug-induced causes,D,348,6127760,5.7
Total,Indiana,18,2001,2001,,,348,6127760,5.7
,Indiana,18,2002,2002,Drug-induced causes,D,345,6155967,5.6
Total,Indiana,18,2002,2002,,,345,6155967,5.6
,Indiana,18,2003,2003,Drug-induced causes,D,498,6196638,8
Total,Indiana,18,2003,2003,,,498,6196638,8
,Indiana,18,2004,2004,Drug-induced causes,D,606,6233007,9.7
Total,Indiana,18,2004,2004,,,606,6233007,9.7
,Indiana,18,2005,2005,Drug-induced causes,D,665,6278616,10.6
Total,Indiana,18,2005,2005,,,665,6278616,10.6
,Indiana,18,2006,2006,Drug-induced causes,D,773,6332669,12.2
Total,Indiana,18,2006,2006,,,773,6332669,12.2
,Indiana,18,2007,2007,Drug-induced causes,D,827,6379599,13
Total,Indiana,18,2007,2007,,,827,6379599,13
,Indiana,18,2008,2008,Drug-induced causes,D,869,6424806,13.5
Total,Indiana,18,2008,2008,,,869,6424806,13.5
,Indiana,18,2009,2009,Drug-induced causes,D,929,6459325,14.4
Total,Indiana,18,2009,2009,,,929,6459325,14.4
,Indiana,18,2010,2010,Drug-induced causes,D,964,6483802,14.9
Total,Indiana,18,2010,2010,,,964,6483802,14.9
,Indiana,18,2011,2011,Drug-induced causes,D,1006,6516922,15.4
Total,Indiana,18,2011,2011,,,1006,6516922,15.4
,Indiana,18,2012,2012,Drug-induced causes,D,1056,6537334,16.2
Total,Indiana,18,2012,2012,,,1056,6537334,16.2
,Indiana,18,2013,2013,Drug-induced causes,D,1122,6570902,17.1
Total,Indiana,18,2013,2013,,,1122,6570902,17.1
,Indiana,18,2014,2014,Drug-induced causes,D,1233,6596855,18.7
Total,Indiana,18,2014,2014,,,1233,6596855,18.7
,Indiana,18,2015,2015,Drug-induced causes,D,1310,6619680,19.8
Total,Indiana,18,2015,2015,,,1310,6619680,19.8
,Indiana,18,2016,2016,Drug-induced causes,D,1574,6633053,23.7
Total,Indiana,18,2016,2016,,,1574,6633053,23.7
,Indiana,18,2017,2017,Drug-induced causes,D,1925,6666818,28.9
Total,Indiana,18,2017,2017,,,1925,6666818,28.9
,Indiana,18,2018,2018,Drug-induced causes,D,1684,6691878,25.2
Total,Indiana,18,2018,2018,,,1684,6691878,25.2
,Indiana,18,2019,2019,Drug-induced causes,D,1756,6732219,26.1
Total,Indiana,18,2019,2019,,,1756,6732219,26.1
,Indiana,18,2020,2020,Drug-induced causes,D,2369,6754953,35.1
Total,Indiana,18,2020,2020,,,2369,6754953,35.1
Total,Indiana,18,,,,,22399,141518257,15.8
,Iowa,19,1999,1999,Drug-induced causes,D,59,2917634,2
Total,Iowa,19,1999,1999,,,59,2917634,2
,Iowa,19,2000,2000,Drug-induced causes,D,79,2926324,2.7
Total,Iowa,19,2000,2000,,,79,2926324,2.7
,Iowa,19,2001,2001,Drug-induced causes,D,90,2931997,3.1
Total,Iowa,19,2001,2001,,,90,2931997,3.1
,Iowa,19,2002,2002,Drug-induced causes,D,101,2934234,3.4
Total,Iowa,19,2002,2002,,,101,2934234,3.4
,Iowa,19,2003,2003,Drug-induced causes,D,110,2941999,3.7
Total,Iowa,19,2003,2003,,,110,2941999,3.7
,Iowa,19,2004,2004,Drug-induced causes,D,132,2953635,4.5
Total,Iowa,19,2004,2004,,,132,2953635,4.5
,Iowa,19,2005,2005,Drug-induced causes,D,154,2964454,5.2
Total,Iowa,19,2005,2005,,,154,2964454,5.2
,Iowa,19,2006,2006,Drug-induced causes,D,199,2982644,6.7
Total,Iowa,19,2006,2006,,,199,2982644,6.7
,Iowa,19,2007,2007,Drug-induced causes,D,211,2999212,7
Total,Iowa,19,2007,2007,,,211,2999212,7
,Iowa,19,2008,2008,Drug-induced causes,D,214,3016734,7.1
Total,Iowa,19,2008,2008,,,214,3016734,7.1
,Iowa,19,2009,2009,Drug-induced causes,D,213,3032870,7
Total,Iowa,19,2009,2009,,,213,3032870,7
,Iowa,19,2010,2010,Drug-induced causes,D,258,3046355,8.5
Total,Iowa,19,2010,2010,,,258,3046355,8.5
,Iowa,19,2011,2011,Drug-induced causes,D,265,3062309,8.7
Total,Iowa,19,2011,2011,,,265,3062309,8.7
,Iowa,19,2012,2012,Drug-induced causes,D,268,3074186,8.7
Total,Iowa,19,2012,2012,,,268,3074186,8.7
,Iowa,19,2013,2013,Drug-induced causes,D,287,3090416,9.3
Total,Iowa,19,2013,2013,,,287,3090416,9.3
,Iowa,19,2014,2014,Drug-induced causes,D,273,3107126,8.8
Total,Iowa,19,2014,2014,,,273,3107126,8.8
,Iowa,19,2015,2015,Drug-induced causes,D,332,3123899,10.6
Total,Iowa,19,2015,2015,,,332,3123899,10.6
,Iowa,19,2016,2016,Drug-induced causes,D,338,3134693,10.8
Total,Iowa,19,2016,2016,,,338,3134693,10.8
,Iowa,19,2017,2017,Drug-induced causes,D,357,3145711,11.3
Total,Iowa,19,2017,2017,,,357,3145711,11.3
,Iowa,19,2018,2018,Drug-induced causes,D,304,3156145,9.6
Total,Iowa,19,2018,2018,,,304,3156145,9.6
,Iowa,19,2019,2019,Drug-induced causes,D,374,3155070,11.9
Total,Iowa,19,2019,2019,,,374,3155070,11.9
,Iowa,19,2020,2020,Drug-induced causes,D,450,3163561,14.2
Total,Iowa,19,2020,2020,,,450,3163561,14.2
Total,Iowa,19,,,,,5068,66861208,7.6
,Kansas,20,1999,1999,Drug-induced causes,D,100,2678338,3.7
Total,Kansas,20,1999,1999,,,100,2678338,3.7
,Kansas,20,2000,2000,Drug-induced causes,D,112,2688418,4.2
Total,Kansas,20,2000,2000,,,112,2688418,4.2
,Kansas,20,2001,2001,Drug-induced causes,D,148,2702162,5.5
Total,Kansas,20,2001,2001,,,148,2702162,5.5
,Kansas,20,2002,2002,Drug-induced causes,D,189,2713535,7
Total,Kansas,20,2002,2002,,,189,2713535,7
,Kansas,20,2003,2003,Drug-induced causes,D,197,2723004,7.2
Total,Kansas,20,2003,2003,,,197,2723004,7.2
,Kansas,20,2004,2004,Drug-induced causes,D,238,2734373,8.7
Total,Kansas,20,2004,2004,,,238,2734373,8.7
,Kansas,20,2005,2005,Drug-induced causes,D,284,2745299,10.3
Total,Kansas,20,2005,2005,,,284,2745299,10.3
,Kansas,20,2006,2006,Drug-induced causes,D,292,2762931,10.6
Total,Kansas,20,2006,2006,,,292,2762931,10.6
,Kansas,20,2007,2007,Drug-induced causes,D,294,2783785,10.6
Total,Kansas,20,2007,2007,,,294,2783785,10.6
,Kansas,20,2008,2008,Drug-induced causes,D,241,2808076,8.6
Total,Kansas,20,2008,2008,,,241,2808076,8.6
,Kansas,20,2009,2009,Drug-induced causes,D,318,2832704,11.2
Total,Kansas,20,2009,2009,,,318,2832704,11.2
,Kansas,20,2010,2010,Drug-induced causes,D,288,2853118,10.1
Total,Kansas,20,2010,2010,,,288,2853118,10.1
,Kansas,20,2011,2011,Drug-induced causes,D,317,2871238,11
Total,Kansas,20,2011,2011,,,317,2871238,11
,Kansas,20,2012,2012,Drug-induced causes,D,341,2885905,11.8
Total,Kansas,20,2012,2012,,,341,2885905,11.8
,Kansas,20,2013,2013,Drug-induced causes,D,356,2893957,12.3
Total,Kansas,20,2013,2013,,,356,2893957,12.3
,Kansas,20,2014,2014,Drug-induced causes,D,349,2904021,12
Total,Kansas,20,2014,2014,,,349,2904021,12
,Kansas,20,2015,2015,Drug-induced causes,D,349,2911641,12
Total,Kansas,20,2015,2015,,,349,2911641,12
,Kansas,20,2016,2016,Drug-induced causes,D,333,2907289,11.5
Total,Kansas,20,2016,2016,,,333,2907289,11.5
,Kansas,20,2017,2017,Drug-induced causes,D,360,2913123,12.4
Total,Kansas,20,2017,2017,,,360,2913123,12.4
,Kansas,20,2018,2018,Drug-induced causes,D,371,2911505,12.7
Total,Kansas,20,2018,2018,,,371,2911505,12.7
,Kansas,20,2019,2019,Drug-induced causes,D,430,2913314,14.8
Total,Kansas,20,2019,2019,,,430,2913314,14.8
,Kansas,20,2020,2020,Drug-induced causes,D,521,2913805,17.9
Total,Kansas,20,2020,2020,,,521,2913805,17.9
Total,Kansas,20,,,,,6428,62051541,10.4
,Kentucky,21,1999,1999,Drug-induced causes,D,215,4018053,5.4
Total,Kentucky,21,1999,1999,,,215,4018053,5.4
,Kentucky,21,2000,2000,Drug-induced causes,D,257,4041769,6.4
Total,Kentucky,21,2000,2000,,,257,4041769,6.4
,Kentucky,21,2001,2001,Drug-induced causes,D,370,4068132,9.1
Total,Kentucky,21,2001,2001,,,370,4068132,9.1
,Kentucky,21,2002,2002,Drug-induced causes,D,451,4089875,11
Total,Kentucky,21,2002,2002,,,451,4089875,11
,Kentucky,21,2003,2003,Drug-induced causes,D,588,4117170,14.3
Total,Kentucky,21,2003,2003,,,588,4117170,14.3
,Kentucky,21,2004,2004,Drug-induced causes,D,559,4146101,13.5
Total,Kentucky,21,2004,2004,,,559,4146101,13.5
,Kentucky,21,2005,2005,Drug-induced causes,D,662,4182742,15.8
Total,Kentucky,21,2005,2005,,,662,4182742,15.8
,Kentucky,21,2006,2006,Drug-induced causes,D,766,4219239,18.2
Total,Kentucky,21,2006,2006,,,766,4219239,18.2
,Kentucky,21,2007,2007,Drug-induced causes,D,722,4256672,17
Total,Kentucky,21,2007,2007,,,722,4256672,17
,Kentucky,21,2008,2008,Drug-induced causes,D,779,4289878,18.2
Total,Kentucky,21,2008,2008,,,779,4289878,18.2
,Kentucky,21,2009,2009,Drug-induced causes,D,786,4317074,18.2
Total,Kentucky,21,2009,2009,,,786,4317074,18.2
,Kentucky,21,2010,2010,Drug-induced causes,D,1036,4339367,23.9
Total,Kentucky,21,2010,2010,,,1036,4339367,23.9
,Kentucky,21,2011,2011,Drug-induced causes,D,1099,4369356,25.2
Total,Kentucky,21,2011,2011,,,1099,4369356,25.2
,Kentucky,21,2012,2012,Drug-induced causes,D,1126,4380415,25.7
Total,Kentucky,21,2012,2012,,,1126,4380415,25.7
,Kentucky,21,2013,2013,Drug-induced causes,D,1049,4395295,23.9
Total,Kentucky,21,2013,2013,,,1049,4395295,23.9
,Kentucky,21,2014,2014,Drug-induced causes,D,1128,4413457,25.6
Total,Kentucky,21,2014,2014,,,1128,4413457,25.6
,Kentucky,21,2015,2015,Drug-induced causes,D,1332,4425092,30.1
Total,Kentucky,21,2015,2015,,,1332,4425092,30.1
,Kentucky,21,2016,2016,Drug-induced causes,D,1525,4436974,34.4
Total,Kentucky,21,2016,2016,,,1525,4436974,34.4
,Kentucky,21,2017,2017,Drug-induced causes,D,1662,4454189,37.3
Total,Kentucky,21,2017,2017,,,1662,4454189,37.3
,Kentucky,21,2018,2018,Drug-induced causes,D,1407,4468402,31.5
Total,Kentucky,21,2018,2018,,,1407,4468402,31.5
,Kentucky,21,2019,2019,Drug-induced causes,D,1487,4467673,33.3
Total,Kentucky,21,2019,2019,,,1487,4467673,33.3
,Kentucky,21,2020,2020,Drug-induced causes,D,2187,4477251,48.8
Total,Kentucky,21,2020,2020,,,2187,4477251,48.8
Total,Kentucky,21,,,,,21193,94374176,22.5
,Louisiana,22,1999,1999,Drug-induced causes,D,246,4460811,5.5
Total,Louisiana,22,1999,1999,,,246,4460811,5.5
,Louisiana,22,2000,2000,Drug-induced causes,D,335,4468976,7.5
Total,Louisiana,22,2000,2000,,,335,4468976,7.5
,Louisiana,22,2001,2001,Drug-induced causes,D,351,4477875,7.8
Total,Louisiana,22,2001,2001,,,351,4477875,7.8
,Louisiana,22,2002,2002,Drug-induced causes,D,468,4497267,10.4
Total,Louisiana,22,2002,2002,,,468,4497267,10.4
,Louisiana,22,2003,2003,Drug-induced causes,D,630,4521042,13.9
Total,Louisiana,22,2003,2003,,,630,4521042,13.9
,Louisiana,22,2004,2004,Drug-induced causes,D,656,4552238,14.4
Total,Louisiana,22,2004,2004,,,656,4552238,14.4
,Louisiana,22,2005,2005,Drug-induced causes,D,752,4576628,16.4
Total,Louisiana,22,2005,2005,,,752,4576628,16.4
,Louisiana,22,2006,2006,Drug-induced causes,D,800,4302665,18.6
Total,Louisiana,22,2006,2006,,,800,4302665,18.6
,Louisiana,22,2007,2007,Drug-induced causes,D,862,4375581,19.7
Total,Louisiana,22,2007,2007,,,862,4375581,19.7
,Louisiana,22,2008,2008,Drug-induced causes,D,686,4435586,15.5
Total,Louisiana,22,2008,2008,,,686,4435586,15.5
,Louisiana,22,2009,2009,Drug-induced causes,D,623,4491648,13.9
Total,Louisiana,22,2009,2009,,,623,4491648,13.9
,Louisiana,22,2010,2010,Drug-induced causes,D,616,4533372,13.6
Total,Louisiana,22,2010,2010,,,616,4533372,13.6
,Louisiana,22,2011,2011,Drug-induced causes,D,618,4574836,13.5
Total,Louisiana,22,2011,2011,,,618,4574836,13.5
,Louisiana,22,2012,2012,Drug-induced causes,D,588,4601893,12.8
Total,Louisiana,22,2012,2012,,,588,4601893,12.8
,Louisiana,22,2013,2013,Drug-induced causes,D,836,4625470,18.1
Total,Louisiana,22,2013,2013,,,836,4625470,18.1
,Louisiana,22,2014,2014,Drug-induced causes,D,810,4649676,17.4
Total,Louisiana,22,2014,2014,,,810,4649676,17.4
,Louisiana,22,2015,2015,Drug-induced causes,D,901,4670724,19.3
Total,Louisiana,22,2015,2015,,,901,4670724,19.3
,Louisiana,22,2016,2016,Drug-induced causes,D,1036,4681666,22.1
Total,Louisiana,22,2016,2016,,,1036,4681666,22.1
,Louisiana,22,2017,2017,Drug-induced causes,D,1138,4684333,24.3
Total,Louisiana,22,2017,2017,,,1138,4684333,24.3
,Louisiana,22,2018,2018,Drug-induced causes,D,1186,4659978,25.5
Total,Louisiana,22,2018,2018,,,1186,4659978,25.5
,Louisiana,22,2019,2019,Drug-induced causes,D,1316,4648794,28.3
Total,Louisiana,22,2019,2019,,,1316,4648794,28.3
,Louisiana,22,2020,2020,Drug-induced causes,D,1953,4645318,42
Total,Louisiana,22,2020,2020,,,1953,4645318,42
Total,Louisiana,22,,,,,17407,100136377,17.4
,Maine,23,1999,1999,Drug-induced causes,D,70,1266808,5.5
Total,Maine,23,1999,1999,,,70,1266808,5.5
,Maine,23,2000,2000,Drug-induced causes,D,62,1274923,4.9
Total,Maine,23,2000,2000,,,62,1274923,4.9
,Maine,23,2001,2001,Drug-induced causes,D,92,1285692,7.2
Total,Maine,23,2001,2001,,,92,1285692,7.2
,Maine,23,2002,2002,Drug-induced causes,D,147,1295960,11.3
Total,Maine,23,2002,2002,,,147,1295960,11.3
,Maine,23,2003,2003,Drug-induced causes,D,134,1306513,10.3
Total,Maine,23,2003,2003,,,134,1306513,10.3
,Maine,23,2004,2004,Drug-induced causes,D,145,1313688,11
Total,Maine,23,2004,2004,,,145,1313688,11
,Maine,23,2005,2005,Drug-induced causes,D,168,1318787,12.7
Total,Maine,23,2005,2005,,,168,1318787,12.7
,Maine,23,2006,2006,Drug-induced causes,D,166,1323619,12.5
Total,Maine,23,2006,2006,,,166,1323619,12.5
,Maine,23,2007,2007,Drug-induced causes,D,161,1327040,12.1
Total,Maine,23,2007,2007,,,161,1327040,12.1
,Maine,23,2008,2008,Drug-induced causes,D,162,1330509,12.2
Total,Maine,23,2008,2008,,,162,1330509,12.2
,Maine,23,2009,2009,Drug-induced causes,D,182,1329590,13.7
Total,Maine,23,2009,2009,,,182,1329590,13.7
,Maine,23,2010,2010,Drug-induced causes,D,140,1328361,10.5
Total,Maine,23,2010,2010,,,140,1328361,10.5
,Maine,23,2011,2011,Drug-induced causes,D,160,1328188,12
Total,Maine,23,2011,2011,,,160,1328188,12
,Maine,23,2012,2012,Drug-induced causes,D,157,1329192,11.8
Total,Maine,23,2012,2012,,,157,1329192,11.8
