STATEFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION
34,2012,Med_SA_fac,156.0,New Jersey,NJ
35,2012,Med_SA_fac,79.0,New Mexico,NM
36,2012,Med_SA_fac,694.0,New York,NY
37,2012,Med_SA_fac,225.0,North Carolina,NC
38,2012,Med_SA_fac,20.0,North Dakota,ND
39,2012,Med_SA_fac,245.0,Ohio,OH
40,2012,Med_SA_fac,117.0,Oklahoma,OK
41,2012,Med_SA_fac,144.0,Oregon,OR
42,2012,Med_SA_fac,376.0,Pennsylvania,PA
44,2012,Med_SA_fac,50.0,Rhode Island,RI
45,2012,Med_SA_fac,54.0,South Carolina,SC
46,2012,Med_SA_fac,41.0,South Dakota,SD
47,2012,Med_SA_fac,100.0,Tennessee,TN
48,2012,Med_SA_fac,222.0,Texas,TX
49,2012,Med_SA_fac,72.0,Utah,UT
50,2012,Med_SA_fac,31.0,Vermont,VT
51,2012,Med_SA_fac,81.0,Virginia,VA
53,2012,Med_SA_fac,227.0,Washington,WA
54,2012,Med_SA_fac,63.0,West Virginia,WV
55,2012,Med_SA_fac,156.0,Wisconsin,WI
56,2012,Med_SA_fac,35.0,Wyoming,WY
72,2012,Med_SA_fac,9.0,Puerto Rico,PR
00,2012,SMAT_fac,2965.0,United States,US
01,2012,SMAT_fac,30.0,Alabama,AL
02,2012,SMAT_fac,9.0,Alaska,AK
04,2012,SMAT_fac,84.0,Arizona,AZ
05,2012,SMAT_fac,13.0,Arkansas,AR
06,2012,SMAT_fac,317.0,California,CA
08,2012,SMAT_fac,56.0,Colorado,CO
09,2012,SMAT_fac,47.0,Connecticut,CT
10,2012,SMAT_fac,12.0,Delaware,DE
11,2012,SMAT_fac,12.0,District of Columbia,DC
12,2012,SMAT_fac,119.0,Florida,FL
13,2012,SMAT_fac,74.0,Georgia,GA
15,2012,SMAT_fac,8.0,Hawaii,HI
16,2012,SMAT_fac,8.0,Idaho,ID
17,2012,SMAT_fac,123.0,Illinois,IL
18,2012,SMAT_fac,38.0,Indiana,IN
19,2012,SMAT_fac,9.0,Iowa,IA
20,2012,SMAT_fac,27.0,Kansas,KS
21,2012,SMAT_fac,34.0,Kentucky,KY
22,2012,SMAT_fac,16.0,Louisiana,LA
23,2012,SMAT_fac,45.0,Maine,ME
24,2012,SMAT_fac,144.0,Maryland,MD
25,2012,SMAT_fac,122.0,Massachusetts,MA
26,2012,SMAT_fac,94.0,Michigan,MI
27,2012,SMAT_fac,53.0,Minnesota,MN
28,2012,SMAT_fac,11.0,Mississippi,MS
29,2012,SMAT_fac,55.0,Missouri,MO
30,2012,SMAT_fac,10.0,Montana,MT
31,2012,SMAT_fac,12.0,Nebraska,NE
32,2012,SMAT_fac,17.0,Nevada,NV
33,2012,SMAT_fac,13.0,New Hampshire,NH
34,2012,SMAT_fac,80.0,New Jersey,NJ
35,2012,SMAT_fac,30.0,New Mexico,NM
36,2012,SMAT_fac,406.0,New York,NY
37,2012,SMAT_fac,90.0,North Carolina,NC
38,2012,SMAT_fac,3.0,North Dakota,ND
39,2012,SMAT_fac,73.0,Ohio,OH
40,2012,SMAT_fac,23.0,Oklahoma,OK
41,2012,SMAT_fac,33.0,Oregon,OR
42,2012,SMAT_fac,130.0,Pennsylvania,PA
44,2012,SMAT_fac,25.0,Rhode Island,RI
45,2012,SMAT_fac,25.0,South Carolina,SC
46,2012,SMAT_fac,6.0,South Dakota,SD
47,2012,SMAT_fac,37.0,Tennessee,TN
48,2012,SMAT_fac,119.0,Texas,TX
49,2012,SMAT_fac,32.0,Utah,UT
50,2012,SMAT_fac,17.0,Vermont,VT
51,2012,SMAT_fac,60.0,Virginia,VA
53,2012,SMAT_fac,62.0,Washington,WA
54,2012,SMAT_fac,30.0,West Virginia,WV
55,2012,SMAT_fac,55.0,Wisconsin,WI
56,2012,SMAT_fac,5.0,Wyoming,WY
72,2012,SMAT_fac,12.0,Puerto Rico,PR
00,2012,Med_SMAT_fac,1877.0,United States,US
01,2012,Med_SMAT_fac,11.0,Alabama,AL
02,2012,Med_SMAT_fac,6.0,Alaska,AK
04,2012,Med_SMAT_fac,52.0,Arizona,AZ
05,2012,Med_SMAT_fac,2.0,Arkansas,AR
06,2012,Med_SMAT_fac,134.0,California,CA
08,2012,Med_SMAT_fac,36.0,Colorado,CO
09,2012,Med_SMAT_fac,42.0,Connecticut,CT
10,2012,Med_SMAT_fac,8.0,Delaware,DE
11,2012,Med_SMAT_fac,8.0,District of Columbia,DC
12,2012,Med_SMAT_fac,43.0,Florida,FL
13,2012,Med_SMAT_fac,19.0,Georgia,GA
15,2012,Med_SMAT_fac,6.0,Hawaii,HI
16,2012,Med_SMAT_fac,5.0,Idaho,ID
17,2012,Med_SMAT_fac,74.0,Illinois,IL
18,2012,Med_SMAT_fac,24.0,Indiana,IN
19,2012,Med_SMAT_fac,4.0,Iowa,IA
20,2012,Med_SMAT_fac,15.0,Kansas,KS
21,2012,Med_SMAT_fac,10.0,Kentucky,KY
22,2012,Med_SMAT_fac,4.0,Louisiana,LA
23,2012,Med_SMAT_fac,38.0,Maine,ME
24,2012,Med_SMAT_fac,121.0,Maryland,MD
25,2012,Med_SMAT_fac,88.0,Massachusetts,MA
26,2012,Med_SMAT_fac,64.0,Michigan,MI
27,2012,Med_SMAT_fac,26.0,Minnesota,MN
28,2012,Med_SMAT_fac,7.0,Mississippi,MS
29,2012,Med_SMAT_fac,27.0,Missouri,MO
30,2012,Med_SMAT_fac,8.0,Montana,MT
31,2012,Med_SMAT_fac,6.0,Nebraska,NE
32,2012,Med_SMAT_fac,13.0,Nevada,NV
33,2012,Med_SMAT_fac,11.0,New Hampshire,NH
34,2012,Med_SMAT_fac,46.0,New Jersey,NJ
35,2012,Med_SMAT_fac,19.0,New Mexico,NM
36,2012,Med_SMAT_fac,382.0,New York,NY
37,2012,Med_SMAT_fac,55.0,North Carolina,NC
38,2012,Med_SMAT_fac,3.0,North Dakota,ND
39,2012,Med_SMAT_fac,57.0,Ohio,OH
40,2012,Med_SMAT_fac,10.0,Oklahoma,OK
41,2012,Med_SMAT_fac,22.0,Oregon,OR
42,2012,Med_SMAT_fac,112.0,Pennsylvania,PA
44,2012,Med_SMAT_fac,23.0,Rhode Island,RI
45,2012,Med_SMAT_fac,8.0,South Carolina,SC
46,2012,Med_SMAT_fac,4.0,South Dakota,SD
47,2012,Med_SMAT_fac,9.0,Tennessee,TN
48,2012,Med_SMAT_fac,44.0,Texas,TX
49,2012,Med_SMAT_fac,18.0,Utah,UT
50,2012,Med_SMAT_fac,16.0,Vermont,VT
51,2012,Med_SMAT_fac,24.0,Virginia,VA
53,2012,Med_SMAT_fac,41.0,Washington,WA
54,2012,Med_SMAT_fac,22.0,West Virginia,WV
55,2012,Med_SMAT_fac,45.0,Wisconsin,WI
56,2012,Med_SMAT_fac,4.0,Wyoming,WY
72,2012,Med_SMAT_fac,1.0,Puerto Rico,PR
00,2012,TMAT_fac,576.0,United States,US
01,2012,TMAT_fac,8.0,Alabama,AL
04,2012,TMAT_fac,19.0,Arizona,AZ
05,2012,TMAT_fac,2.0,Arkansas,AR
06,2012,TMAT_fac,65.0,California,CA
08,2012,TMAT_fac,9.0,Colorado,CO
09,2012,TMAT_fac,15.0,Connecticut,CT
10,2012,TMAT_fac,8.0,Delaware,DE
11,2012,TMAT_fac,1.0,District of Columbia,DC
12,2012,TMAT_fac,33.0,Florida,FL
13,2012,TMAT_fac,18.0,Georgia,GA
15,2012,TMAT_fac,2.0,Hawaii,HI
16,2012,TMAT_fac,2.0,Idaho,ID
17,2012,TMAT_fac,21.0,Illinois,IL
18,2012,TMAT_fac,8.0,Indiana,IN
19,2012,TMAT_fac,3.0,Iowa,IA
20,2012,TMAT_fac,2.0,Kansas,KS
21,2012,TMAT_fac,7.0,Kentucky,KY
22,2012,TMAT_fac,7.0,Louisiana,LA
23,2012,TMAT_fac,2.0,Maine,ME
24,2012,TMAT_fac,30.0,Maryland,MD
25,2012,TMAT_fac,27.0,Massachusetts,MA
26,2012,TMAT_fac,20.0,Michigan,MI
27,2012,TMAT_fac,12.0,Minnesota,MN
28,2012,TMAT_fac,1.0,Mississippi,MS
29,2012,TMAT_fac,5.0,Missouri,MO
30,2012,TMAT_fac,1.0,Montana,MT
31,2012,TMAT_fac,1.0,Nebraska,NE
32,2012,TMAT_fac,5.0,Nevada,NV
33,2012,TMAT_fac,3.0,New Hampshire,NH
34,2012,TMAT_fac,16.0,New Jersey,NJ
35,2012,TMAT_fac,4.0,New Mexico,NM
36,2012,TMAT_fac,57.0,New York,NY
37,2012,TMAT_fac,21.0,North Carolina,NC
39,2012,TMAT_fac,10.0,Ohio,OH
40,2012,TMAT_fac,2.0,Oklahoma,OK
41,2012,TMAT_fac,8.0,Oregon,OR
42,2012,TMAT_fac,22.0,Pennsylvania,PA
44,2012,TMAT_fac,6.0,Rhode Island,RI
45,2012,TMAT_fac,11.0,South Carolina,SC
47,2012,TMAT_fac,5.0,Tennessee,TN
48,2012,TMAT_fac,23.0,Texas,TX
49,2012,TMAT_fac,11.0,Utah,UT
50,2012,TMAT_fac,6.0,Vermont,VT
51,2012,TMAT_fac,14.0,Virginia,VA
53,2012,TMAT_fac,8.0,Washington,WA
54,2012,TMAT_fac,8.0,West Virginia,WV
55,2012,TMAT_fac,7.0,Wisconsin,WI
00,2012,Med_TMAT_fac,358.0,United States,US
01,2012,Med_TMAT_fac,4.0,Alabama,AL
04,2012,Med_TMAT_fac,11.0,Arizona,AZ
06,2012,Med_TMAT_fac,49.0,California,CA
08,2012,Med_TMAT_fac,5.0,Colorado,CO
09,2012,Med_TMAT_fac,13.0,Connecticut,CT
10,2012,Med_TMAT_fac,6.0,Delaware,DE
11,2012,Med_TMAT_fac,1.0,District of Columbia,DC
12,2012,Med_TMAT_fac,14.0,Florida,FL
13,2012,Med_TMAT_fac,1.0,Georgia,GA
15,2012,Med_TMAT_fac,2.0,Hawaii,HI
16,2012,Med_TMAT_fac,1.0,Idaho,ID
17,2012,Med_TMAT_fac,9.0,Illinois,IL
18,2012,Med_TMAT_fac,2.0,Indiana,IN
21,2012,Med_TMAT_fac,1.0,Kentucky,KY
23,2012,Med_TMAT_fac,2.0,Maine,ME
24,2012,Med_TMAT_fac,30.0,Maryland,MD
25,2012,Med_TMAT_fac,22.0,Massachusetts,MA
26,2012,Med_TMAT_fac,15.0,Michigan,MI
27,2012,Med_TMAT_fac,5.0,Minnesota,MN
32,2012,Med_TMAT_fac,5.0,Nevada,NV
33,2012,Med_TMAT_fac,3.0,New Hampshire,NH
34,2012,Med_TMAT_fac,11.0,New Jersey,NJ
35,2012,Med_TMAT_fac,2.0,New Mexico,NM
36,2012,Med_TMAT_fac,55.0,New York,NY
37,2012,Med_TMAT_fac,8.0,North Carolina,NC
39,2012,Med_TMAT_fac,6.0,Ohio,OH
41,2012,Med_TMAT_fac,5.0,Oregon,OR
42,2012,Med_TMAT_fac,21.0,Pennsylvania,PA
44,2012,Med_TMAT_fac,6.0,Rhode Island,RI
45,2012,Med_TMAT_fac,2.0,South Carolina,SC
48,2012,Med_TMAT_fac,7.0,Texas,TX
49,2012,Med_TMAT_fac,9.0,Utah,UT
50,2012,Med_TMAT_fac,6.0,Vermont,VT
51,2012,Med_TMAT_fac,4.0,Virginia,VA
53,2012,Med_TMAT_fac,4.0,Washington,WA
54,2012,Med_TMAT_fac,4.0,West Virginia,WV
55,2012,Med_TMAT_fac,7.0,Wisconsin,WI
00,2012,AMAT_fac,0.0,United States,US
00,2012,Med_AMAT_fac,0.0,United States,US
00,2012,HICVT_fac,11692.0,United States,US
01,2012,HICVT_fac,101.0,Alabama,AL
02,2012,HICVT_fac,70.0,Alaska,AK
04,2012,HICVT_fac,273.0,Arizona,AZ
05,2012,HICVT_fac,74.0,Arkansas,AR
06,2012,HICVT_fac,1338.0,California,CA
08,2012,HICVT_fac,397.0,Colorado,CO
09,2012,HICVT_fac,145.0,Connecticut,CT
10,2012,HICVT_fac,34.0,Delaware,DE
11,2012,HICVT_fac,30.0,District of Columbia,DC
12,2012,HICVT_fac,474.0,Florida,FL
13,2012,HICVT_fac,200.0,Georgia,GA
15,2012,HICVT_fac,116.0,Hawaii,HI
16,2012,HICVT_fac,88.0,Idaho,ID
17,2012,HICVT_fac,583.0,Illinois,IL
18,2012,HICVT_fac,241.0,Indiana,IN
19,2012,HICVT_fac,101.0,Iowa,IA
20,2012,HICVT_fac,205.0,Kansas,KS
21,2012,HICVT_fac,294.0,Kentucky,KY
22,2012,HICVT_fac,100.0,Louisiana,LA
23,2012,HICVT_fac,188.0,Maine,ME
24,2012,HICVT_fac,324.0,Maryland,MD
25,2012,HICVT_fac,259.0,Massachusetts,MA
26,2012,HICVT_fac,439.0,Michigan,MI
27,2012,HICVT_fac,310.0,Minnesota,MN
28,2012,HICVT_fac,75.0,Mississippi,MS
29,2012,HICVT_fac,246.0,Missouri,MO
30,2012,HICVT_fac,52.0,Montana,MT
31,2012,HICVT_fac,104.0,Nebraska,NE
32,2012,HICVT_fac,64.0,Nevada,NV
33,2012,HICVT_fac,42.0,New Hampshire,NH
34,2012,HICVT_fac,320.0,New Jersey,NJ
35,2012,HICVT_fac,110.0,New Mexico,NM
36,2012,HICVT_fac,809.0,New York,NY
37,2012,HICVT_fac,353.0,North Carolina,NC
38,2012,HICVT_fac,58.0,North Dakota,ND
39,2012,HICVT_fac,290.0,Ohio,OH
40,2012,HICVT_fac,178.0,Oklahoma,OK
41,2012,HICVT_fac,206.0,Oregon,OR
42,2012,HICVT_fac,460.0,Pennsylvania,PA
44,2012,HICVT_fac,54.0,Rhode Island,RI
45,2012,HICVT_fac,84.0,South Carolina,SC
46,2012,HICVT_fac,58.0,South Dakota,SD
47,2012,HICVT_fac,178.0,Tennessee,TN
48,2012,HICVT_fac,383.0,Texas,TX
49,2012,HICVT_fac,137.0,Utah,UT
50,2012,HICVT_fac,36.0,Vermont,VT
51,2012,HICVT_fac,145.0,Virginia,VA
53,2012,HICVT_fac,417.0,Washington,WA
54,2012,HICVT_fac,78.0,West Virginia,WV
55,2012,HICVT_fac,212.0,Wisconsin,WI
56,2012,HICVT_fac,43.0,Wyoming,WY
72,2012,HICVT_fac,116.0,Puerto Rico,PR
00,2012,Med_HICVT_fac,6760.0,United States,US
01,2012,Med_HICVT_fac,50.0,Alabama,AL
02,2012,Med_HICVT_fac,52.0,Alaska,AK
04,2012,Med_HICVT_fac,149.0,Arizona,AZ
05,2012,Med_HICVT_fac,24.0,Arkansas,AR
06,2012,Med_HICVT_fac,443.0,California,CA
08,2012,Med_HICVT_fac,182.0,Colorado,CO
09,2012,Med_HICVT_fac,117.0,Connecticut,CT
10,2012,Med_HICVT_fac,21.0,Delaware,DE
11,2012,Med_HICVT_fac,15.0,District of Columbia,DC
12,2012,Med_HICVT_fac,170.0,Florida,FL
13,2012,Med_HICVT_fac,95.0,Georgia,GA
15,2012,Med_HICVT_fac,29.0,Hawaii,HI
16,2012,Med_HICVT_fac,62.0,Idaho,ID
17,2012,Med_HICVT_fac,262.0,Illinois,IL
18,2012,Med_HICVT_fac,147.0,Indiana,IN
19,2012,Med_HICVT_fac,87.0,Iowa,IA
20,2012,Med_HICVT_fac,142.0,Kansas,KS
21,2012,Med_HICVT_fac,115.0,Kentucky,KY
22,2012,Med_HICVT_fac,56.0,Louisiana,LA
23,2012,Med_HICVT_fac,165.0,Maine,ME
24,2012,Med_HICVT_fac,203.0,Maryland,MD
25,2012,Med_HICVT_fac,169.0,Massachusetts,MA
26,2012,Med_HICVT_fac,302.0,Michigan,MI
27,2012,Med_HICVT_fac,128.0,Minnesota,MN
28,2012,Med_HICVT_fac,50.0,Mississippi,MS
29,2012,Med_HICVT_fac,155.0,Missouri,MO
30,2012,Med_HICVT_fac,42.0,Montana,MT
31,2012,Med_HICVT_fac,77.0,Nebraska,NE
32,2012,Med_HICVT_fac,29.0,Nevada,NV
33,2012,Med_HICVT_fac,25.0,New Hampshire,NH
34,2012,Med_HICVT_fac,156.0,New Jersey,NJ
35,2012,Med_HICVT_fac,79.0,New Mexico,NM
36,2012,Med_HICVT_fac,694.0,New York,NY
37,2012,Med_HICVT_fac,225.0,North Carolina,NC
38,2012,Med_HICVT_fac,20.0,North Dakota,ND
39,2012,Med_HICVT_fac,245.0,Ohio,OH
40,2012,Med_HICVT_fac,117.0,Oklahoma,OK
41,2012,Med_HICVT_fac,144.0,Oregon,OR
42,2012,Med_HICVT_fac,376.0,Pennsylvania,PA
44,2012,Med_HICVT_fac,50.0,Rhode Island,RI
45,2012,Med_HICVT_fac,54.0,South Carolina,SC
46,2012,Med_HICVT_fac,41.0,South Dakota,SD
47,2012,Med_HICVT_fac,100.0,Tennessee,TN
48,2012,Med_HICVT_fac,222.0,Texas,TX
49,2012,Med_HICVT_fac,72.0,Utah,UT
50,2012,Med_HICVT_fac,31.0,Vermont,VT
51,2012,Med_HICVT_fac,81.0,Virginia,VA
53,2012,Med_HICVT_fac,227.0,Washington,WA
54,2012,Med_HICVT_fac,63.0,West Virginia,WV
55,2012,Med_HICVT_fac,156.0,Wisconsin,WI
56,2012,Med_HICVT_fac,35.0,Wyoming,WY
72,2012,Med_HICVT_fac,9.0,Puerto Rico,PR
00,2012,pct_HICVT_fac,1.0,United States,US
01,2012,pct_HICVT_fac,1.0,Alabama,AL
02,2012,pct_HICVT_fac,1.0,Alaska,AK
04,2012,pct_HICVT_fac,1.0,Arizona,AZ
05,2012,pct_HICVT_fac,1.0,Arkansas,AR
06,2012,pct_HICVT_fac,1.0,California,CA
08,2012,pct_HICVT_fac,1.0,Colorado,CO
09,2012,pct_HICVT_fac,1.0,Connecticut,CT
10,2012,pct_HICVT_fac,1.0,Delaware,DE
11,2012,pct_HICVT_fac,1.0,District of Columbia,DC
12,2012,pct_HICVT_fac,1.0,Florida,FL
13,2012,pct_HICVT_fac,1.0,Georgia,GA
15,2012,pct_HICVT_fac,1.0,Hawaii,HI
16,2012,pct_HICVT_fac,1.0,Idaho,ID
17,2012,pct_HICVT_fac,1.0,Illinois,IL
18,2012,pct_HICVT_fac,1.0,Indiana,IN
19,2012,pct_HICVT_fac,1.0,Iowa,IA
20,2012,pct_HICVT_fac,1.0,Kansas,KS
21,2012,pct_HICVT_fac,1.0,Kentucky,KY
22,2012,pct_HICVT_fac,1.0,Louisiana,LA
23,2012,pct_HICVT_fac,1.0,Maine,ME
24,2012,pct_HICVT_fac,1.0,Maryland,MD
25,2012,pct_HICVT_fac,1.0,Massachusetts,MA
26,2012,pct_HICVT_fac,1.0,Michigan,MI
27,2012,pct_HICVT_fac,1.0,Minnesota,MN
28,2012,pct_HICVT_fac,1.0,Mississippi,MS
29,2012,pct_HICVT_fac,1.0,Missouri,MO
30,2012,pct_HICVT_fac,1.0,Montana,MT
31,2012,pct_HICVT_fac,1.0,Nebraska,NE
32,2012,pct_HICVT_fac,1.0,Nevada,NV
33,2012,pct_HICVT_fac,1.0,New Hampshire,NH
34,2012,pct_HICVT_fac,1.0,New Jersey,NJ
35,2012,pct_HICVT_fac,1.0,New Mexico,NM
36,2012,pct_HICVT_fac,1.0,New York,NY
37,2012,pct_HICVT_fac,1.0,North Carolina,NC
38,2012,pct_HICVT_fac,1.0,North Dakota,ND
39,2012,pct_HICVT_fac,1.0,Ohio,OH
40,2012,pct_HICVT_fac,1.0,Oklahoma,OK
41,2012,pct_HICVT_fac,1.0,Oregon,OR
42,2012,pct_HICVT_fac,1.0,Pennsylvania,PA
44,2012,pct_HICVT_fac,1.0,Rhode Island,RI
45,2012,pct_HICVT_fac,1.0,South Carolina,SC
46,2012,pct_HICVT_fac,1.0,South Dakota,SD
47,2012,pct_HICVT_fac,1.0,Tennessee,TN
48,2012,pct_HICVT_fac,1.0,Texas,TX
49,2012,pct_HICVT_fac,1.0,Utah,UT
50,2012,pct_HICVT_fac,1.0,Vermont,VT
51,2012,pct_HICVT_fac,1.0,Virginia,VA
53,2012,pct_HICVT_fac,1.0,Washington,WA
54,2012,pct_HICVT_fac,1.0,West Virginia,WV
55,2012,pct_HICVT_fac,1.0,Wisconsin,WI
56,2012,pct_HICVT_fac,1.0,Wyoming,WY
72,2012,pct_HICVT_fac,1.0,Puerto Rico,PR
00,2013,SA_fac,11474.0,United States,US
01,2013,SA_fac,127.0,Alabama,AL
02,2013,SA_fac,72.0,Alaska,AK
04,2013,SA_fac,245.0,Arizona,AZ
05,2013,SA_fac,64.0,Arkansas,AR
06,2013,SA_fac,1249.0,California,CA
08,2013,SA_fac,410.0,Colorado,CO
09,2013,SA_fac,159.0,Connecticut,CT
10,2013,SA_fac,34.0,Delaware,DE
11,2013,SA_fac,29.0,District of Columbia,DC
12,2013,SA_fac,456.0,Florida,FL
13,2013,SA_fac,278.0,Georgia,GA
15,2013,SA_fac,116.0,Hawaii,HI
16,2013,SA_fac,92.0,Idaho,ID
17,2013,SA_fac,601.0,Illinois,IL
18,2013,SA_fac,232.0,Indiana,IN
19,2013,SA_fac,102.0,Iowa,IA
20,2013,SA_fac,189.0,Kansas,KS
21,2013,SA_fac,293.0,Kentucky,KY
22,2013,SA_fac,93.0,Louisiana,LA
23,2013,SA_fac,185.0,Maine,ME
24,2013,SA_fac,323.0,Maryland,MD
25,2013,SA_fac,259.0,Massachusetts,MA
26,2013,SA_fac,421.0,Michigan,MI
27,2013,SA_fac,309.0,Minnesota,MN
28,2013,SA_fac,68.0,Mississippi,MS
29,2013,SA_fac,217.0,Missouri,MO
30,2013,SA_fac,58.0,Montana,MT
31,2013,SA_fac,90.0,Nebraska,NE
32,2013,SA_fac,60.0,Nevada,NV
33,2013,SA_fac,37.0,New Hampshire,NH
34,2013,SA_fac,314.0,New Jersey,NJ
35,2013,SA_fac,96.0,New Mexico,NM
36,2013,SA_fac,791.0,New York,NY
37,2013,SA_fac,358.0,North Carolina,NC
38,2013,SA_fac,57.0,North Dakota,ND
39,2013,SA_fac,285.0,Ohio,OH
40,2013,SA_fac,167.0,Oklahoma,OK
41,2013,SA_fac,208.0,Oregon,OR
42,2013,SA_fac,434.0,Pennsylvania,PA
44,2013,SA_fac,54.0,Rhode Island,RI
45,2013,SA_fac,92.0,South Carolina,SC
46,2013,SA_fac,54.0,South Dakota,SD
47,2013,SA_fac,166.0,Tennessee,TN
48,2013,SA_fac,370.0,Texas,TX
49,2013,SA_fac,136.0,Utah,UT
50,2013,SA_fac,36.0,Vermont,VT
51,2013,SA_fac,140.0,Virginia,VA
53,2013,SA_fac,401.0,Washington,WA
54,2013,SA_fac,86.0,West Virginia,WV
55,2013,SA_fac,200.0,Wisconsin,WI
56,2013,SA_fac,45.0,Wyoming,WY
72,2013,SA_fac,116.0,Puerto Rico,PR
00,2013,Med_SA_fac,6739.0,United States,US
01,2013,Med_SA_fac,70.0,Alabama,AL
02,2013,Med_SA_fac,47.0,Alaska,AK
04,2013,Med_SA_fac,135.0,Arizona,AZ
05,2013,Med_SA_fac,22.0,Arkansas,AR
06,2013,Med_SA_fac,401.0,California,CA
08,2013,Med_SA_fac,183.0,Colorado,CO
09,2013,Med_SA_fac,138.0,Connecticut,CT
10,2013,Med_SA_fac,22.0,Delaware,DE
11,2013,Med_SA_fac,18.0,District of Columbia,DC
12,2013,Med_SA_fac,168.0,Florida,FL
13,2013,Med_SA_fac,173.0,Georgia,GA
15,2013,Med_SA_fac,30.0,Hawaii,HI
16,2013,Med_SA_fac,65.0,Idaho,ID
17,2013,Med_SA_fac,274.0,Illinois,IL
18,2013,Med_SA_fac,147.0,Indiana,IN
19,2013,Med_SA_fac,87.0,Iowa,IA
20,2013,Med_SA_fac,135.0,Kansas,KS
21,2013,Med_SA_fac,115.0,Kentucky,KY
22,2013,Med_SA_fac,58.0,Louisiana,LA
23,2013,Med_SA_fac,158.0,Maine,ME
24,2013,Med_SA_fac,214.0,Maryland,MD
25,2013,Med_SA_fac,171.0,Massachusetts,MA
26,2013,Med_SA_fac,286.0,Michigan,MI
27,2013,Med_SA_fac,134.0,Minnesota,MN
28,2013,Med_SA_fac,45.0,Mississippi,MS
29,2013,Med_SA_fac,138.0,Missouri,MO
30,2013,Med_SA_fac,46.0,Montana,MT
31,2013,Med_SA_fac,66.0,Nebraska,NE
32,2013,Med_SA_fac,34.0,Nevada,NV
33,2013,Med_SA_fac,22.0,New Hampshire,NH
34,2013,Med_SA_fac,162.0,New Jersey,NJ
35,2013,Med_SA_fac,70.0,New Mexico,NM
36,2013,Med_SA_fac,664.0,New York,NY
37,2013,Med_SA_fac,219.0,North Carolina,NC
38,2013,Med_SA_fac,21.0,North Dakota,ND
39,2013,Med_SA_fac,249.0,Ohio,OH
40,2013,Med_SA_fac,106.0,Oklahoma,OK
41,2013,Med_SA_fac,150.0,Oregon,OR
42,2013,Med_SA_fac,367.0,Pennsylvania,PA
44,2013,Med_SA_fac,49.0,Rhode Island,RI
45,2013,Med_SA_fac,59.0,South Carolina,SC
46,2013,Med_SA_fac,38.0,South Dakota,SD
47,2013,Med_SA_fac,98.0,Tennessee,TN
48,2013,Med_SA_fac,215.0,Texas,TX
49,2013,Med_SA_fac,73.0,Utah,UT
50,2013,Med_SA_fac,32.0,Vermont,VT
51,2013,Med_SA_fac,75.0,Virginia,VA
53,2013,Med_SA_fac,221.0,Washington,WA
54,2013,Med_SA_fac,75.0,West Virginia,WV
55,2013,Med_SA_fac,148.0,Wisconsin,WI
56,2013,Med_SA_fac,39.0,Wyoming,WY
72,2013,Med_SA_fac,7.0,Puerto Rico,PR
00,2013,SMAT_fac,3464.0,United States,US
01,2013,SMAT_fac,47.0,Alabama,AL
02,2013,SMAT_fac,12.0,Alaska,AK
04,2013,SMAT_fac,95.0,Arizona,AZ
05,2013,SMAT_fac,12.0,Arkansas,AR
06,2013,SMAT_fac,320.0,California,CA
08,2013,SMAT_fac,83.0,Colorado,CO
09,2013,SMAT_fac,59.0,Connecticut,CT
10,2013,SMAT_fac,15.0,Delaware,DE
11,2013,SMAT_fac,11.0,District of Columbia,DC
12,2013,SMAT_fac,120.0,Florida,FL
13,2013,SMAT_fac,77.0,Georgia,GA
15,2013,SMAT_fac,10.0,Hawaii,HI
16,2013,SMAT_fac,17.0,Idaho,ID
17,2013,SMAT_fac,140.0,Illinois,IL
18,2013,SMAT_fac,51.0,Indiana,IN
19,2013,SMAT_fac,13.0,Iowa,IA
20,2013,SMAT_fac,31.0,Kansas,KS
21,2013,SMAT_fac,60.0,Kentucky,KY
22,2013,SMAT_fac,18.0,Louisiana,LA
23,2013,SMAT_fac,43.0,Maine,ME
24,2013,SMAT_fac,141.0,Maryland,MD
25,2013,SMAT_fac,134.0,Massachusetts,MA
26,2013,SMAT_fac,106.0,Michigan,MI
27,2013,SMAT_fac,64.0,Minnesota,MN
28,2013,SMAT_fac,15.0,Mississippi,MS
29,2013,SMAT_fac,101.0,Missouri,MO
30,2013,SMAT_fac,12.0,Montana,MT
31,2013,SMAT_fac,19.0,Nebraska,NE
32,2013,SMAT_fac,21.0,Nevada,NV
33,2013,SMAT_fac,13.0,New Hampshire,NH
34,2013,SMAT_fac,106.0,New Jersey,NJ
35,2013,SMAT_fac,29.0,New Mexico,NM
36,2013,SMAT_fac,448.0,New York,NY
37,2013,SMAT_fac,109.0,North Carolina,NC
38,2013,SMAT_fac,5.0,North Dakota,ND
39,2013,SMAT_fac,93.0,Ohio,OH
40,2013,SMAT_fac,23.0,Oklahoma,OK
41,2013,SMAT_fac,36.0,Oregon,OR
42,2013,SMAT_fac,155.0,Pennsylvania,PA
44,2013,SMAT_fac,29.0,Rhode Island,RI
45,2013,SMAT_fac,31.0,South Carolina,SC
46,2013,SMAT_fac,5.0,South Dakota,SD
47,2013,SMAT_fac,44.0,Tennessee,TN
48,2013,SMAT_fac,135.0,Texas,TX
